ATS,Building_C,Location_C,Name,Geographic,Latitude,Longitude,latitude,longitude
84M518,MBMC,M518,East Harlem Scholars Academy Charter School,4,40.79001,-73.942482,4981417.3532000035,-8231239.4442
84M522,MBDF,M522,Broome Street Academy Charter High School,2,40.723911,-74.004692,4971703.495499998,-8238164.629799999
84M523,M470,M523,Success Academy Charter School - Upper West,3,40.786134,-73.974483,4980847.472499996,-8234801.7793000005
84M702,M223,M702,Sisulu-Walker Charter School of Harlem,5,40.816626,-73.951292,4985331.550099999,-8232220.1689
84M704,MAIV,M704,Harbor Science and Arts Charter School,4,40.795404,-73.944449,4982210.4777000025,-8231458.409700001
84M705,M170,M705,Amber Charter School East Harlem,4,40.790932,-73.943904,4981552.9179000035,-8231397.740499999
84M707,MAEG,M707,John V. Lindsay Wildcat Academy Charter School,2,40.705605,-74.015837,4969014.9663999975,-8239405.285499999
84M708,MADR,M708,Harlem Prep Charter School,4,40.801547,-73.935335,4983113.8125,-8230443.843800001
84M709,M194,M709,Harlem Village Academy West Charter School,5,40.821208,-73.941111,4986005.545699999,-8231086.825200001
84M726,M125,M726,KIPP S.T.A.R. College Preparatory Charter School,5,40.810793,-73.955722,4984473.6043,-8232713.314300001
84M861,M144,M861,Future Leaders Institute Charter School,3,40.806055,-73.948385,4983776.771899998,-8231896.563200001
84Q083,QCOD,Q083,Central Queens Academy Charter School,24,40.736886,-73.875053,4973609.529799998,-8223733.282299999
84Q170,QAGE,Q170,Peninsula Preparatory Academy Charter School,27,40.600659,-73.752565,4953616.205600001,-8210097.9805
84Q298,QABC,Q298,Middle Village Preparatory Charter School,24,40.710973,-73.888325,4969803.266500004,-8225210.7146000005
84Q304,QALJ,Q304,VOICE Charter School of New York,30,40.760376,-73.939984,4977061.169100001,-8230961.368100001
84Q320,Q400,Q320,New Visions Charter High School for Advanced Math,27,40.673949,-73.782684,4964367.519299999,-8213450.8122000005
84Q321,QARY,Q321,Growing Up Green Charter School,30,40.753503,-73.93562,4976051.118799999,-8230475.5699000005
84Q337,Q374,Q337,Success Academy Charter School - Rosedale,29,40.655811,-73.738793,4961705.656800002,-8208564.888499999
84Q339,Q059,Q339,Success Academy Charter School - Springfield Garde,29,40.681881,-73.752772,4965531.816399999,-8210121.023600001
84Q340,QAAT,Q340,Challenge Preparatory Charter School,27,40.600137,-73.764065,4953539.672899999,-8211378.1546
84Q341,QAFE,Q341,Riverton Street Charter School,29,40.68943,-73.763609,4966640.023599997,-8211327.392999999
